api_number,well_number,operator,lease_unit,county,latitude,longitude
42-473-00109,4401,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.85187198,-95.85807731
42-473-00108,9,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.85489814,-95.85464259
42-473-00107,4502,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.85824079,-95.85072446
42-473-00106,3505,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.86196798,-95.85510169
42-473-30305,4404D,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.85128099,-95.86373575
42-473-30309,4405,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.84867840,-95.85916766
42-473-00181,4301,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.85616406,-95.87813056
42-473-30413,4305,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.85773479,-95.87636590
42-473-00150,3310,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.86347915,-95.88830918
42-473-00149,3308,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.86531029,-95.88478837
42-473-00152,3201,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.87068190,-95.89254431
42-473-00163,3203,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.86935845,-95.89260132
42-473-00156,3202,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.86162395,-95.89452041
42-473-00154,3207,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.86157999,-95.89770569
42-473-00095,2401,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.87621596,-95.87278946
42-473-00096,3401,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.87263196,-95.86770829
42-473-80295,3406,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.86896745,-95.86014175
42-473-00086,2308,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.87922704,-95.88745114
42-473-00089,2205,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.88330711,-95.89273901
42-473-00158,2202,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.88696847,-95.89284261
42-473-00087,2201,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.88323817,-95.90107669
42-473-00081,2306,Hilcorp Energy Company,KGFCU (Katy Gas Field Consolidated Unit),Waller,29.88715189,-95.88027599
