WorkOrderID,EquipID,EquipTypeID,EquipTypeName,MaintTypeID,MaintName,WellNumber,API,Latitude,Longitude,SafetyCritical,EffortHoursEst,TargetMcfPerDay,StatusID
WO-305001,WH-4401,26,Wellhead and Christmas Tree,PM,Routine wellhead check,4401,42-473-00109,29.85187198,-95.85807731,FALSE,0.4,34,NEW
WO-305002,WH-0001,26,Wellhead and Christmas Tree,PM,Routine wellhead check,1,42-201-04256,29.829254,-95.825083,FALSE,0.4,140,NEW
WO-305003,WH-0011,26,Wellhead and Christmas Tree,INS,Quarterly wellhead inspection,11,42-201-07886,29.834303,-95.833535,FALSE,0.5,340,NEW
WO-305004,WH-6606,26,Wellhead and Christmas Tree,CM,Gauge malfunction — corrective repair,6606,42-201-04267,29.817862,-95.834801,TRUE,2.2,180,NEW
WO-305005,WH-4404D,26,Wellhead and Christmas Tree,CM,Flow anomaly — corrective repair,4404D,42-473-30305,29.85128099,-95.86373575,TRUE,2.0,55,NEW
WO-305006,WH-4405,26,Wellhead and Christmas Tree,CM,Valve leak — corrective repair,4405,42-473-30309,29.8486784,-95.85916766,TRUE,2.4,47,NEW
WO-305007,WH-4301,26,Wellhead and Christmas Tree,PM,Routine wellhead check,4301,42-473-00181,29.85616406,-95.87813056,FALSE,0.4,45,NEW
WO-305008,WH-4305,26,Wellhead and Christmas Tree,INS,Quarterly wellhead inspection,4305,42-473-30413,29.85773479,-95.8763659,FALSE,0.5,28,NEW
WO-305009,WH-3310,26,Wellhead and Christmas Tree,PM,Routine wellhead check,3310,42-473-00150,29.86347915,-95.88830918,FALSE,0.4,15,NEW
WO-305010,WH-3308,26,Wellhead and Christmas Tree,CM,Compressor trip — corrective repair,3308,42-473-00149,29.86531029,-95.88478837,TRUE,2.5,90,NEW
WO-305011,WH-3201,26,Wellhead and Christmas Tree,PM,Routine wellhead check,3201,42-473-00152,29.8706819,-95.89254431,FALSE,0.4,52,NEW
WO-305012,WH-3203,26,Wellhead and Christmas Tree,INS,Quarterly wellhead inspection,3203,42-473-00163,29.86935845,-95.89260132,FALSE,0.5,24,NEW
WO-305013,WH-3202,26,Wellhead and Christmas Tree,PM,Routine wellhead check,3202,42-473-00156,29.86162395,-95.89452041,FALSE,0.4,18,NEW
WO-305014,WH-3207,32,Remote Terminal Unit,COM,"RTU communications fault — well shut in (safety), reboot required",3207,42-473-00154,29.86157999,-95.89770569,TRUE,0.03,82,NEW
WO-305015,WH-2401,26,Wellhead and Christmas Tree,PM,Routine wellhead check,2401,42-473-00095,29.87621596,-95.87278946,FALSE,0.4,250,NEW
WO-305016,WH-3401,26,Wellhead and Christmas Tree,INS,Quarterly wellhead inspection,3401,42-473-00096,29.87263196,-95.86770829,FALSE,0.5,38,NEW
WO-305017,WH-3406,26,Wellhead and Christmas Tree,PM,Routine wellhead check,3406,42-473-80295,29.86896745,-95.86014175,FALSE,0.4,12,NEW
WO-305018,WH-2308,26,Wellhead and Christmas Tree,PM,Routine wellhead check,2308,42-473-00086,29.87922704,-95.88745114,FALSE,0.4,26,NEW
WO-305019,WH-2205,26,Wellhead and Christmas Tree,PM,Routine wellhead check,2205,42-473-00089,29.88330711,-95.89273901,FALSE,0.4,41,NEW
WO-305020,WH-2202,26,Wellhead and Christmas Tree,INS,Quarterly wellhead inspection,2202,42-473-00158,29.88696847,-95.89284261,FALSE,0.5,20,NEW
WO-305021,WH-2201,26,Wellhead and Christmas Tree,PM,Routine wellhead check,2201,42-473-00087,29.88323817,-95.90107669,FALSE,0.4,33,NEW
WO-305022,WH-2306,32,Remote Terminal Unit,COM,"RTU communications fault — well shut in (safety), reboot required",2306,42-473-00081,29.88715189,-95.88027599,TRUE,0.03,61,NEW
WO-305023,WH-4302,26,Wellhead and Christmas Tree,PM,Routine wellhead check,4302,42-473-00182,29.85710000,-95.87980000,FALSE,0.4,38,NEW
WO-305024,WH-4303,26,Wellhead and Christmas Tree,INS,Quarterly wellhead inspection,4303,42-473-00183,29.85480000,-95.87350000,FALSE,0.5,22,NEW
WO-305025,WH-4306,26,Wellhead and Christmas Tree,PM,Routine wellhead check,4306,42-473-30414,29.86010000,-95.87210000,FALSE,0.4,30,NEW
WO-305026,WH-4402,26,Wellhead and Christmas Tree,PM,Routine wellhead check,4402,42-473-00110,29.84970000,-95.85520000,FALSE,0.4,27,NEW
WO-305027,WH-4403,26,Wellhead and Christmas Tree,CM,Pressure sensor fault — corrective repair,4403,42-473-00111,29.85370000,-95.86110000,TRUE,2.2,65,NEW
WO-305028,WH-3204,26,Wellhead and Christmas Tree,INS,Quarterly wellhead inspection,3204,42-473-00164,29.86830000,-95.89650000,FALSE,0.5,19,NEW
WO-305029,WH-3205,26,Wellhead and Christmas Tree,PM,Routine wellhead check,3205,42-473-00165,29.87220000,-95.89080000,FALSE,0.4,24,NEW
WO-305030,WH-3209,26,Wellhead and Christmas Tree,PM,Routine wellhead check,3209,42-473-00166,29.86450000,-95.89310000,FALSE,0.4,16,NEW
WO-305031,WH-3402,26,Wellhead and Christmas Tree,INS,Quarterly wellhead inspection,3402,42-473-00097,29.87560000,-95.86320000,FALSE,0.5,33,NEW
WO-305032,WH-3403,26,Wellhead and Christmas Tree,PM,Routine wellhead check,3403,42-473-00098,29.86980000,-95.85790000,FALSE,0.4,21,NEW
WO-305033,WH-2203,26,Wellhead and Christmas Tree,PM,Routine wellhead check,2203,42-473-00159,29.88910000,-95.89610000,FALSE,0.4,29,NEW
WO-305034,WH-2204,26,Wellhead and Christmas Tree,INS,Quarterly wellhead inspection,2204,42-473-00160,29.88480000,-95.90420000,FALSE,0.5,17,NEW
WO-305035,WH-2402,26,Wellhead and Christmas Tree,PM,Routine wellhead check,2402,42-473-00099,29.87980000,-95.86980000,FALSE,0.4,44,NEW
WO-305036,WH-2403,26,Wellhead and Christmas Tree,CM,Packing leak — corrective repair,2403,42-473-00100,29.87220000,-95.87810000,TRUE,2.2,58,NEW
WO-305037,WH-2307,26,Wellhead and Christmas Tree,INS,Quarterly wellhead inspection,2307,42-473-00082,29.89030000,-95.87560000,FALSE,0.5,23,NEW
WO-305038,WH-6607,26,Wellhead and Christmas Tree,PM,Routine wellhead check,6607,42-201-04268,29.82150000,-95.82980000,FALSE,0.4,36,NEW
WO-305039,WH-6608,26,Wellhead and Christmas Tree,INS,Quarterly wellhead inspection,6608,42-201-04269,29.81430000,-95.84120000,FALSE,0.5,14,NEW
WO-305040,WH-0012,26,Wellhead and Christmas Tree,PM,Routine wellhead check,12,42-201-07887,29.83780000,-95.82890000,FALSE,0.4,31,NEW
