GCOMPID,OPERATOR,NAME,MEAS_TECH,LAST_INSP,NEXT_INSP,FREQ_INSP_MO,TEST_DUR,CALIB_DUR,SAMP_DUR,LOW_FLOW,BATT_PCT,ADDRESS,CITY,STATE,ZIP,STATUS,NUM_UNITS,CERT_HP,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE
GCOMP1674,979968 ALBERTA LTD.,KANEX ENERGY CORP,Technician-01,5/19/2023,11/15/2023,6,55,20,40,,100,NEAR SHARPLES BOTTOM ROAD (0.6 KM SSW); 06-06-012-28-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,WILLOW CREEK NO. 26,NOT APPLICABLE,CAN,49.966227,-113.815887
GCOMP1532,ALPHABOW ENERGY LTD.,BURLINGTON RESOURCES CANADA (HUNTER) (WARNER NO. 5),Technician-02,11/22/2022,11/17/2023,12,55,,40,,100,NEAR RANGE ROAD 184 (0.6 KME); 07-29-005-18-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,WARNER NO. 5,NOT APPLICABLE,CAN,49.412447,-112.389201
GCOMP1536,ALPHABOW ENERGY LTD.,CANADIAN HUNTER EXPLORATION LTD. (LETHBRIDGE A),Technician-03,5/23/2023,11/19/2023,6,55,20,,,100,80224 RANGE ROAD 191; 08-02-008-19-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,LETHBRIDGE,NOT APPLICABLE,CAN,49.615175,-112.466737
GCOMP1537,ALPHABOW ENERGY LTD.,CANADIAN HUNTER EXPLORATION LTD. (LETHBRIDGE B),Technician-04,11/26/2022,11/21/2023,12,55,,,,100,101015 RANGE ROAD 195; 12-05-010-19-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,LETHBRIDGE,NOT APPLICABLE,CAN,49.793414,-112.554018
GCOMP1538,ALPHABOW ENERGY LTD.,CANADIAN HUNTER EXPLORATION LTD. (LETHBRIDGE C),Technician-05,5/27/2023,11/23/2023,6,55,,40,,100,73086 RANGE ROAD 221; 16-23-007-21-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,LETHBRIDGE,NOT APPLICABLE,CAN,49.581317,-112.735635
GCOMP1539,ALPHABOW ENERGY LTD.,CANADIAN HUNTER EXPLORATION LTD. (WARNER NO. 5),Technician-06,11/16/2022,11/11/2023,12,55,20,,,100,NEAR 61 HIGHWAY (0.6 KM N); 10-35-006-19-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,WARNER NO. 5,NOT APPLICABLE,CAN,49.517794,-112.458335
GCOMP1700,ALPHABOW ENERGY LTD.,PENGROWTH CORPORATION (LETHBRIDGE A),Technician-07,2/17/2023,11/14/2023,9,55,,,,100,82011 RANGE ROAD 203; 04-15-008-20-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,LETHBRIDGE,NOT APPLICABLE,CAN,49.642331,-112.643647
GCOMP1701,ALPHABOW ENERGY LTD.,PENGROWTH CORPORATION (LETHBRIDGE B),Technician-08,5/19/2023,11/15/2023,6,55,,,,100,NEAR RANGE ROAD 194 (0.6 KMW); 06-21-007-19-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,LETHBRIDGE,NOT APPLICABLE,CAN,49.574009,-112.524714
GCOMP1734,ALPHABOW ENERGY LTD.,RESOLUTE ENERGY INC,Technician-09,5/5/2023,11/1/2023,6,55,,,,100,NEAR 525 HIGHWAY (0.6 KM SSW); 16-29-013-12-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.120311,-111.597954
GCOMP1511,ALTAGAS UTILITIES INC.,ALTAGAS UTILITIES INC.,Technician-10,11/20/2022,11/15/2023,12,55,20,40,,100,4311 RANGE ROAD 292; 09-22-004-29-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,PINCHER CREEK NO. 9,NOT APPLICABLE,CAN,49.313353,-113.814231
GCOMP1757,BAYTEX ENERGY LTD.,TURIN N. 10-16-11-18 COMP.,Technician-11,3/4/2023,11/29/2023,9,55,,,,100,10-16-011-18-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,TABER,NOT APPLICABLE,CAN,49.911585,-112.399258
GCOMP1564,BELLATRIX EXPLORATION LTD.,CIGAR OIL & GAS LTD. (CYPRESS A),Technician-12,12/6/2022,12/1/2023,12,55,,40,Y,100,RANGE ROAD 21; 01-23-012-02-W4,NOT AVAILABLE,AB,NOT AVAILABLE,NOT AVAILABLE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,49.986981,-110.163274
GCOMP1565,BELLATRIX EXPLORATION LTD.,CIGAR OIL & GAS LTD. (CYPRESS B),Technician-13,6/10/2023,12/7/2023,6,55,,,,100,RANGE ROAD 21; 01-23-012-02-W4,NOT AVAILABLE,AB,NOT AVAILABLE,NOT AVAILABLE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,49.98698507,-110.1632252
GCOMP1722,BELLATRIX EXPLORATION LTD.,PIPER ENERGY INC. (FORTY MILE NO. 8 A),Technician-14,6/18/2023,12/15/2023,6,55,,,,100,3 HIGHWAY; 01-03-011-08-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,FORTY MILE NO. 8,NOT APPLICABLE,CAN,49.875083,-111.006271
GCOMP1723,BELLATRIX EXPLORATION LTD.,PIPER ENERGY INC. (FORTY MILE NO. 8 B),Technician-15,7/4/2023,12/31/2023,6,55,20,,,100,RANGE ROAD 75; 09-31-009-07-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,FORTY MILE NO. 8,NOT APPLICABLE,CAN,49.777593,-110.963223
GCOMP1724,BELLATRIX EXPLORATION LTD.,PIPER ENERGY INC. (FORTY MILE NO. 8 C),Technician-16,1/15/2023,1/15/2024,6,55,,40,,100,TOWNSHIP ROAD 120; 16-33-011-09-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,FORTY MILE NO. 8,NOT APPLICABLE,CAN,49.958458,-111.165193
GCOMP1658,BIGHORN ENERGY CORPORATION_CANLIN CONSORT,ESPRIT EXPLORATION LTD,Technician-17,2/15/2023,2/15/2024,12,55,,,,100,NEAR 804 HIGHWAY (0.6 KKM E); 10-28-017-26-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,VULCAN,NOT APPLICABLE,CAN,50.466393,-113.513326
GCOMP1530,BORDER MIDSTREAM SERVICES LTD.,"BORDER MIDSTREAM SERVICES, LTD.",Technician-18,3/15/2023,3/15/2024,12,55,,,,100,722 AVENUE EAST; 02-04-017-29-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,FOOTHILLS NO. 31,NOT APPLICABLE,CAN,50.397902,-113.925654
GCOMP1509,CAMPUS ENERGY PARTNERS OPERATION,ALTAGAS ENERGY PROCESSORS INC.,Technician-19,4/15/2023,4/15/2024,12,55,,,,100,RANGE ROAD 270; 01-12-014-27-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,WILLOW CREEK NO. 26,NOT APPLICABLE,CAN,50.150541,-113.5551
GCOMP1510,CAMPUS ENERGY PARTNERS OPERATION,ALTAGAS SERVICES INC.,Technician-20,5/15/2023,5/15/2024,6,55,,,,100,09-04-015-26-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,WILLOW CREEK NO. 26,NOT APPLICABLE,CAN,50.232444,-113.51224
GCOMP1643,CAMPUS ENERGY PARTNERS OPERATION,SUFFIELD-15-06-017-08 W4M,Technician-21,6/15/2023,6/15/2024,12,55,20,,Y,100,15-06-017-08-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,NOT AVAILABLE,NOT APPLICABLE,CAN,50.398578,-111.086766
GCOMP1761,CAMPUS ENERGY PARTNERS OPERATION,VISTA MIDSTREAM SOLUTIONS LTD (TABER A),Technician-22,7/15/2023,7/15/2024,6,55,,,,100,TOWNSHIP ROAD 130; 03-02-013-17-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,TABER,NOT APPLICABLE,CAN,50.051863,-112.225955
GCOMP1762,CAMPUS ENERGY PARTNERS OPERATION,VISTA MIDSTREAM SOLUTIONS LTD (TABER B),Technician-23,8/15/2023,8/15/2024,9,55,,,,100,NEAR RANGE ROAD 180 (1.0 KM E); 06-12-010-18-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,TABER,NOT APPLICABLE,CAN,49.804194,-112.319332
GCOMP1763,CAMPUS ENERGY PARTNERS OPERATION,VISTA MIDSTREAM SOLUTIONS LTD (TABER C),Technician-24,9/15/2023,9/15/2024,12,55,,,,100,RANGE ROAD 174; 13-16-011-17-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,TABER,NOT APPLICABLE,CAN,49.916461,-112.278374
