OBJECTID,API,WellName,ZoneStatus,YearDrilled,DateSpud,CompletedDate,ProducingL,ProposedGI,FirstProdD,WellboreSt,SpudReleas,Operator,FieldName,FormationN,Elevation,TD,MD,HasIP,BEG_Core,BEG_Logs,HasCoreRep,HasLogs,HasMudLog,HasResisti,HasPorosit,HasSonic,HasDipMete,HasGammaRa,HasGR_SP,HasDirecti,HasDrillin,HasComplet,HasW1,HasW2,HasHz,IPBBLOil,IPMCFGas,IPBBLWater,PerfTop,PerfBottom,Tops,WebDetailL,CoreReport,LogsLink,Directiona,DrillingLi,Completion,W1Link,DateEffect,W2Link,Cumulative,Cumulati_1,County,BlockNbr,SectionNbr,Direction,Latitude,Longitude
1,4200300000,UNIVERSITY BLOCK 9 PENN UNIT - 3WSW,Water Supply,1970,11/20/1970,1/29/1971,,,00000000,WSW,,XTO ENERGY INC.,UNIVERSITY BLOCK 9,PENN.,3163,1800,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,http://utlands.utsystem.edu/API/4200300000,,,,,,,00000000,,,,Andrews,09,12,1000  FSL & 1000 FWL,32.210502624511700,-102.555290222167000
2,4200300001,MAGUTEX QUEEN UNIT - 1WSW,Water Supply,1963,2/20/1963,2/26/1963,,,00000000,WSW,,"SUNERGON OIL OPERATING, LLC",MAGUTEX,QUEEN,3050,1703,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,http://utlands.utsystem.edu/API/4200300001,,,,,,,00000000,,,,Andrews,05,19,2849  FSL & 2170 FWL,32.448898315429600,-102.396987915039000
3,4200300012,"Phillips-Lion-University ""T"" - 1",Plugged and Abandoned,1954,9/12/1954,9/27/1954,,,00000000,DA,,ADA OIL COMPANY,SHAFTER LAKE,YATES,3242,3150,,N,N,N,N,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,,,,,,,http://utlands.utsystem.edu/API/4200300012,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00012/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300012/864,9/9/1954,,,,Andrews,13,36,663  FSL & 1984 FEL,32.355415344238200,-102.707160949707000
4,4200300013,"Phillips-Lion-University ""T"" - 2",Plugged and Abandoned,1955,1/27/1955,2/13/1955,,,00000000,DA,,ADA OIL COMPANY,SHAFTER LAKE,YATES,3266,3165,,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N,,,,,,,http://utlands.utsystem.edu/API/4200300013,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00013/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300013/870,2/21/1955,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300013/873,,,Andrews,13,36,1989  FSL & 661 FWL,32.356967926025300,-102.716575622558000
5,4200300014,EMMA SAN ANDRES UNIT - 5-1,Plugged and Abandoned,1939,8/2/1939,9/21/1939,,,9/21/1939,PAO,,GREENHILL PETROLEUM CORPORATION,EMMA,,3152,4306,,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,1296,0,0,4154,4306,,http://utlands.utsystem.edu/API/4200300014,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300014/879,,,00000000,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300014/883,,,Andrews,10,36,332  FSL & 2271 FEL,32.130580902099600,-102.628982543945000
6,4200300015,Emma San Andres Unit - 502,Plugged and Abandoned,1939,9/22/1939,10/25/1939,,,00000000,PAO,,ARCO OIL & GAS CO.,EMMA,,3154,4312,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,1256,0,0,4235,4312,,http://utlands.utsystem.edu/API/4200300015,,,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300015/662,7/26/1939,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300015/888,,,Andrews,10,36,332  FSL & 1304 FEL,32.131301879882800,-102.625976562500000
7,4200300017,STATE UNIV. 2 QN CONS. UT. - 3139W,Plugged and Abandoned,1956,11/20/1956,12/12/1956,,,12/12/1956,PAI,,OXY USA INC.,MCFARLAND,QUEEN,3115,4880,,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,120,0,0,4775,4785,,http://utlands.utsystem.edu/API/4200300017,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00017/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300017/1598,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300017/681,10/5/1956,,,,Andrews,04,32,1980  FNL & 1984 FEL,32.403881072998000,-102.467544555664000
8,4200300020,EMMA SAN ANDRES UNIT  - 12-1,Plugged and Abandoned,1941,6/29/1941,7/15/1941,,,7/15/1941,PAO,,ATLANTIC RICHFIELD CO.,EMMA,,3148,4275,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,1408,0,0,4187,0,,http://utlands.utsystem.edu/API/4200300020,,,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300020/1605,6/24/1941,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300020/1610,,,Andrews,09,43,330  FNL & 330 FWL,32.116661071777300,-102.615783691406000
9,4200300021,Samedan University - 1,Plugged and Abandoned,1962,9/22/1962,11/16/1962,,,00000000,PAO,,ESTORIL PRODUCING CORPORATION,EMMA,STRAWN,3128,9300,,Y,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,N,577,0,0,9188,0,,http://utlands.utsystem.edu/API/4200300021,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00021/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300021/1618,5/11/1964,,,,Andrews,09,43,1980  FSL & 1980 FWL,32.110073089599600,-102.608131408691000
10,4200300026,University-Andrews - A-1,Plugged and Abandoned,1949,4/8/1949,4/30/1949,,,00000000,DA,,AMERADA PETR. CORP.,WILDCAT,08,3117,4820,,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,,,,,http://utlands.utsystem.edu/API/4200300026,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00026/,,,,,00000000,,,,Andrews,01,15,2032  FSL & 657 FEL,32.216758728027300,-102.474281311035000
